name,price,category,RAM,Stockage,OS,Batterie,Poids,url
Lenovo thinkpad E480,"58.000,00",Etudiant,8 GO ,256 GO,Windows 11 Original .,  4h .,1.3kg .,https://oktobit.store/product/lenovo-thinkpad-e490/
Hp probook 640 G4,"62.000,00",Etudiant,8 GO,256 GO,Windows 11 Original .,5h., 1.5 kg .,https://oktobit.store/product/hp-probook-640-g3/
Lenovo thinkpad L13 Gen 4,"125.000,00",Etudiant,16 GO,512 GO,Windows 11 Original .,  5h ., 1.3kg .,https://oktobit.store/product/lenovo-thinkpad-l13-gen-4/
DELL Latitude 3540,"105.000,00",Bureautique,8 GO ,256 GO ,Windows 10 Original .,6h., 1.4 kg .,https://oktobit.store/product/dell-latitude-3540-nv/
HP probook 450 G9 i5 12Ã¨me ! 2022,"105.000,00",Etudiant, 8 GO,256 GO ,Windows 11 Original ., 5h ., 1.4 kg .,https://oktobit.store/product/hp-probook-450-g9-i5-12eme-2022-2/
Asus vivobook 14 double GPU neuf sous emballage,"132.500,00",Etudiant,8 GO ,256 GO ,Windows 11 Original .,4h., 1.4 kg .,https://oktobit.store/product/asus-vivobook-14-double-gpu-neuf-sous-emballage/
Lenovo Thinkpad T 14 Gen2,"118.000,00",Etudiant,16 GO ,512 GO,Windows 11 Original .,  5h ., 1.35kg .,https://oktobit.store/product/lenovo-thinkpad-t-14-gen2-2/
Lenovo thinkpad L15 GEN 2,"115.000,00",Etudiant,16 GO,512 GO,Windows 11 Original ., 5h ., 1.3kg .,https://oktobit.store/product/lenovo-thinkpad-l15-gen-2/
HP probook 445 G10,"109.000,00",Etudiant,8 GO,256 GO ,Windows 11 Original.,  5h., 1.4 kg.,https://oktobit.store/product/hp-probook-445-g10/
DELL LATITUDE 5440,"125.000,00",Etudiant, 16 GO,256 GO ,Windows 11 Original .,  5h .,1.4 kg .,https://oktobit.store/product/dell-latitude-5440/
Lenovo thinkpad L13,"88.000,00",Etudiant, 8 GO,256 GO ,Windows 11 Original .,  6h .,1.3kg .,https://oktobit.store/product/lenovo-thinkpad-l13-6/
Lenovo Ideapad 3 neuf sous Emballage,"75.000,00",Bureautique, 4 GO ,256 GO ,Windows 10 Original ., 4h .,1.4 kg .,https://oktobit.store/product/lenovo-ideapad-3-2021/
HP probook 440 G9 i5 12Ã¨me,"95.000,00",Etudiant, 8 GO,256 GO ,Windows 11 Original ., 5h ., 1.4 kg .,https://oktobit.store/product/hp-probook-440-g9-i5-12eme-2022/
Elitebook 645 G10,"125.000,00",Etudiant, 16 GO,256 GO ,Windows 11 Original,4h.,1.4 kg.,https://oktobit.store/product/elitebook-645-g10/
Lenovo Thinkpad X13 i5 11Ã¨me,"89.000,00",Convertible (Pc + tablet), 8 GO,256 GO ,Windows 11 Original ., 5h ., 1.20kg .,https://oktobit.store/product/lenovo-thinkpad-x13/
ThinkPad X13 Gen 3 Tactile.,"139.000,00",Convertible (Pc + tablet), 16 GO,256 GO ,Windows 11 Original .,  5h .,1.20kg .,https://oktobit.store/product/thinkpad-x13-gen-3-tactile/
HP Elitebook 840 G8,"115.000,00",Bureautique, 16 GO ,256 GO ,Windows 10 Original .,  5h ., 1.32kg .,https://oktobit.store/product/hp-elitebook-840-g8-5/
Lenovo Thinkpad T14 Gen 3 Ryzen 7,"155.000,00",Etudiant, 16 GO,256 GO ,Windows 11 Original .,  7h ., 1.45kg .,https://oktobit.store/product/lenovo-thinkpad-t14-2022-neuf-2/
DELL LATITUDE 7330 Carbon edition,"125.000,00",Etudiant,16 GO ,256 GO ,Windows 11 Original .,  5h ., 1.4 kg .,https://oktobit.store/product/dell-latitude-7330-carbon-edition-183/
HP probook 440 G10 i5 13Ã¨me,"133.000,00",Etudiant, 8 GO,256 GO ,Windows 11 Original ., 5h ., 1.4 kg .,https://oktobit.store/product/hp-probook-440-g10-i5-13eme-nv-copie/
Honor magicbook 16,"139.000,00",Bureautique,16 GO,1000 GO,Windows 11 Original .,  5h.,1.5 kg.,https://oktobit.store/product/honor-magicbook-16/
DELL LATITUDE 7440 Tactile.,"129.000,00",Etudiant, 16 GO,256 GO ,Windows 11 Original .,6h ., 1.4 kg .,https://oktobit.store/product/dell-latitude-7440-tactile/
HP Elitebook 840 G9,"145.000,00",Bureautique, 16 GO ,512 GO,Windows 10 Original ., 6h .,1.32kg .,https://oktobit.store/product/hp-elitebook-840-g9-i7-12eme/
Lenovo X13 2023 neuf,"175.000,00",Convertible (Pc + tablet), 16 GO,256 GO ,Windows 11 Original ., 5h ., 1.20kg .,https://oktobit.store/product/lenovo-x13-2023-neuf-tactile-ph/
Dell Latitude 5340 i7 13Ã¨me,"149.000,00",Etudiant, 8 GO,256 GO ,Windows 11 Original .,  4h .,1.4 kg .,https://oktobit.store/product/dell-latitude-7290/
Lenovo thinkpad T14 Gen 4,"132.000,00",Etudiant, 16 GO ,512 GO ,Windows 11 Original ., 5h ., 1.35kg .,https://oktobit.store/product/lenovo-thinkpad-t14-gen-4/
DELL LATITUDE Carbon 7320,"130.000,00",Etudiant, 16 GO,256 GO ,Windows 11 Original ., 5h ., 1.4 kg .,https://oktobit.store/product/dell-latitude-7320-carbon-edition-2021/
Lenovo Ideapad DUET 2023 NEUF,"140.000,00",Bureautique, 8 GO,256 GO ,Windows 11 Original ., 6h.,1.5 kg .,https://oktobit.store/product/lenovo-ideapad-i5/
Lenovo thinkpad T14s Gen 3,"145.000,00",Etudiant, 16 GO ,512 GO,Windows 11 Original .,  5h ., 1.35kg .,https://oktobit.store/product/lenovo-thinkpad-t14s-ph/
DELL XPS 13 9315 Thin light 2023 i7 12th 8/512,"159.000,00",Etudiant, 8 GO,256 GO ,Windows 11 Original .,6h ., 1.3 kg .,https://oktobit.store/product/dell-xps-13-2023-ph-2-2/
Asus zenbook flip s13 flip oled bleu,"168.000,00",Asus,16 GO ,512 GO  ,Windows 11 Original .,  5h ., 1.24 kg .,https://oktobit.store/product/asus-zenbook-flip-s13-flip-oled-bleu-2/
Lenovo Thinkpad X1 Carbon Gen 10,"195.000,00",Etudiant,16 GO, 512 GO,Windows 11 Original .,  6h .,950g .,https://oktobit.store/product/lenovo-thinkpad-x1-carbon/
Lenovo Thinkpad X1 Carbon G9 limited edition i7 .,"175.000,00",Etudiant, 16 GO , 512 GO,Windows 11 Original ., 5h ., 900g .,https://oktobit.store/product/lenovo-thinkpad-x1-carbon-g9-limited-edition-i7-2/
Hp elitebook dragonfly G4 tactile,"189.000,00",Convertible (Pc + tablet),16 GO,512 Go,Windows 11 Original .,  6h ., 1.3 kg .,https://oktobit.store/product/hp-elitebook-dragonfly-g4-tactile/
Lenovo thinkpad T14 Gen 4,"165.000,00",Etudiant, 32 GO ,256 GO ,Windows 11 Original .,5h .,1.35kg .,https://oktobit.store/product/lenovo-thinkpad-t14-gen-4-2/
HP Elitebook 1040 G10 X360,"195.000,00",Convertible (Pc + tablet), 16 GO,512 GO ,Windows 11 Original ., 5h ., 1.3 kg .,https://oktobit.store/product/hp-elitebook-1040-g10-x360/
Macbook pro 2020 m1 8/256 space gray,"155.000,00",Etudiant, 8 GO,256 GO ,Windows 11 Original .,  9h., 1.29 kg .,https://oktobit.store/product/macbook-pro-2020-m1-8-256/
DELL XPS 13 9315 Thin light,"162.000,00",Etudiant,16 GO,256 GO ,Windows 11 Original .,  6h ., 1.3 kg .,https://oktobit.store/product/dell-xps-13-9315-thin-light/
Alienware M16 R1 2023 + Mouse + Headset Alienware (PACK),"290.000,00",Etudiant,16 GO ,256 GO ,Windows 11 Original .,5h., 1.3 kg .,https://oktobit.store/product/alienware-m16-r1-2023-mouse-headset-alienware-pack/
Asus tuf A16 rayzen 7 Neuf sous emballage,"290.000,00",Etudiant,16 GO,512 GO,Windows 11 Original .,4h., 1.3 kg .,https://oktobit.store/product/asus-tuf-a16-rayzen-7-neuf-sous-emballage/
Elitebook 645 G9 2022,"128.000,00",Etudiant, 16 GO, 512 GO,Windows 11 Original,5h., 1.3 kg .,https://oktobit.store/product/elitebook-645-g9-2022/
asus zenbook 15 neuf sous EmballageÂ ,"210.000,00",Etudiant, 32 GO,1000 GO,Windows 11 Original .,  5h ., 1.59 kg .,https://oktobit.store/product/asus-zenbook-15-neuf-sous-emballage/
Asus tuf A17 rayzen 9 Neuf sous emballage,"340.000,00",Etudiant, 16 GO,512 GO,Windows 11 Original .,5h., 1.3 kg .,https://oktobit.store/product/asus-tuf-a17-rayzen-9-neuf-sous-emballage/
Asus zenbook flip s13 flip oled bleu,"179.000,00",Etudiant, 16 GO ,512 GO,Windows 11 Original .,  5h .,1.24 kg .,https://oktobit.store/product/asus-zenbook-flip-s13-flip-oled-bleu/
Dell Inspiron x360,"158.000,00",Convertible (Pc + tablet), 16 GO ,512 GO ,Windows 11 Original .,  6h ., 1.3 kg .,https://oktobit.store/product/dell-inspiron-x360/
